model_a,model_b,criterion,n_basins,flip_rate
lstm[delta],lstm[mae],E5_up,221,0.3167420814479638
lstm[delta],lstm[mae],E5_lo,221,0.5927601809954751
lstm[delta],lstm[mae],delta_bar,221,0.4117647058823529
lstm[delta],lstm[mse],A_up,221,0.45248868778280543
lstm[delta],lstm[mse],A_lo,221,0.5475113122171946
lstm[delta],lstm[mse],E5_up,221,0.37104072398190047
lstm[delta],lstm[mse],E5_lo,221,0.5158371040723982
lstm[delta],lstm[mse],delta_bar,221,0.5610859728506787
lstm[delta],lstm[nse],A_up,221,0.416289592760181
lstm[delta],lstm[nse],A_lo,221,0.5610859728506787
lstm[delta],lstm[nse],E5_up,221,0.37104072398190047
lstm[delta],lstm[nse],E5_lo,221,0.5882352941176471
lstm[delta],lstm[nse],delta_bar,221,0.5113122171945701
lstm[delta],patchtst[nse],A_up,221,0.11312217194570136
lstm[delta],patchtst[nse],A_lo,221,0.17647058823529413
lstm[delta],patchtst[nse],E5_up,221,0.04072398190045249
lstm[delta],patchtst[nse],E5_lo,221,0.31221719457013575
lstm[delta],patchtst[nse],delta_bar,221,0.12669683257918551
lstm[delta],tcn[nse],A_up,221,0.40271493212669685
lstm[delta],tcn[nse],A_lo,221,0.5113122171945701
lstm[delta],tcn[nse],E5_up,221,0.3031674208144796
lstm[delta],tcn[nse],E5_lo,221,0.5294117647058824
lstm[delta],tcn[nse],delta_bar,221,0.4841628959276018
lstm[delta],transformer[delta],A_up,221,0.4343891402714932
lstm[delta],transformer[delta],A_lo,221,0.502262443438914
lstm[delta],transformer[delta],E5_up,221,0.27601809954751133
lstm[delta],transformer[delta],E5_lo,221,0.5158371040723982
lstm[delta],transformer[delta],delta_bar,221,0.4660633484162896
lstm[delta],transformer[logmse],A_up,221,0.06787330316742081
lstm[delta],transformer[logmse],A_lo,221,0.33031674208144796
lstm[delta],transformer[logmse],E5_up,221,0.049773755656108594
lstm[delta],transformer[logmse],E5_lo,221,0.49321266968325794
lstm[delta],transformer[logmse],delta_bar,221,0.15384615384615385
lstm[delta],transformer[mae],A_up,221,0.4434389140271493
lstm[delta],transformer[mae],A_lo,221,0.42081447963800905
lstm[delta],transformer[mae],E5_up,221,0.3755656108597285
lstm[delta],transformer[mae],E5_lo,221,0.3574660633484163
lstm[delta],transformer[mae],delta_bar,221,0.47058823529411764
lstm[delta],transformer[mse],A_up,221,0.4343891402714932
lstm[delta],transformer[mse],A_lo,221,0.5339366515837104
lstm[delta],transformer[mse],E5_up,221,0.2986425339366516
lstm[delta],transformer[mse],E5_lo,221,0.497737556561086
lstm[delta],transformer[mse],delta_bar,221,0.5429864253393665
lstm[delta],transformer[nse],A_up,221,0.4253393665158371
lstm[delta],transformer[nse],A_lo,221,0.497737556561086
lstm[delta],transformer[nse],E5_up,221,0.3031674208144796
lstm[delta],transformer[nse],E5_lo,221,0.502262443438914
lstm[delta],transformer[nse],delta_bar,221,0.49321266968325794
lstm[logmse],lstm[mae],A_up,221,0.21266968325791855
lstm[logmse],lstm[mae],A_lo,221,0.19457013574660634
lstm[logmse],lstm[mae],E5_up,221,0.37104072398190047
lstm[logmse],lstm[mae],E5_lo,221,0.26244343891402716
lstm[logmse],lstm[mae],delta_bar,221,0.19004524886877827
lstm[logmse],lstm[mse],A_up,221,0.22171945701357465
lstm[logmse],lstm[mse],A_lo,221,0.248868778280543
lstm[logmse],lstm[mse],E5_up,221,0.37104072398190047
lstm[logmse],lstm[mse],E5_lo,221,0.2986425339366516
lstm[logmse],lstm[mse],delta_bar,221,0.24434389140271492
lstm[logmse],lstm[nse],A_up,221,0.22624434389140272
lstm[logmse],lstm[nse],A_lo,221,0.2171945701357466
lstm[logmse],lstm[nse],E5_up,221,0.3257918552036199
lstm[logmse],lstm[nse],E5_lo,221,0.29411764705882354
lstm[logmse],lstm[nse],delta_bar,221,0.2171945701357466
lstm[logmse],patchtst[nse],A_up,221,0.2669683257918552
lstm[logmse],patchtst[nse],A_lo,221,0.6606334841628959
lstm[logmse],patchtst[nse],E5_up,221,0.13122171945701358
lstm[logmse],patchtst[nse],E5_lo,221,0.665158371040724
lstm[logmse],patchtst[nse],delta_bar,221,0.5384615384615384
lstm[logmse],tcn[nse],A_up,221,0.2171945701357466
lstm[logmse],tcn[nse],A_lo,221,0.25339366515837103
lstm[logmse],tcn[nse],E5_up,221,0.45248868778280543
lstm[logmse],tcn[nse],E5_lo,221,0.3393665158371041
lstm[logmse],tcn[nse],delta_bar,221,0.23529411764705882
lstm[logmse],transformer[delta],A_up,221,0.24434389140271492
lstm[logmse],transformer[delta],A_lo,221,0.27149321266968324
lstm[logmse],transformer[delta],E5_up,221,0.5067873303167421
lstm[logmse],transformer[delta],E5_lo,221,0.2850678733031674
lstm[logmse],transformer[delta],delta_bar,221,0.248868778280543
lstm[logmse],transformer[logmse],A_up,221,0.10407239819004525
lstm[logmse],transformer[logmse],A_lo,221,0.3936651583710407
lstm[logmse],transformer[logmse],E5_up,221,0.09502262443438914
lstm[logmse],transformer[logmse],E5_lo,221,0.5294117647058824
lstm[logmse],transformer[logmse],delta_bar,221,0.19909502262443438
lstm[logmse],transformer[mae],A_up,221,0.2398190045248869
lstm[logmse],transformer[mae],A_lo,221,0.19909502262443438
