basin,run,branch,L,L_mode,alpha,pointwise_width,simultaneous_width,maxt_c
G9030250,aus_lstm_nse_s0,lo,30,fixed,1.0,0.1417434500000505,0.19769657152950626,2.7068560279003484
G9030250,aus_lstm_nse_s0,up,60,fixed,0.01,0.406335433241866,0.5926186483292843,2.887300503611032
G9030250,aus_lstm_nse_s0,up,60,fixed,0.05,0.3771197729954867,0.5947756430431569,2.887300503611032
G9030250,aus_lstm_nse_s0,up,60,fixed,0.2,0.13728280756755964,0.21151371776347153,2.887300503611032
G9030250,aus_lstm_nse_s0,up,60,fixed,1.0,0.16414433574216725,0.23490872711178223,2.887300503611032
G9030250,aus_lstm_nse_s0,lo,60,fixed,0.01,0.430987555135809,0.6564646780809504,2.757447238293839
G9030250,aus_lstm_nse_s0,lo,60,fixed,0.05,0.2151633635198983,0.314136487199593,2.757447238293839
G9030250,aus_lstm_nse_s0,lo,60,fixed,0.2,0.10096446652567614,0.13754915800702672,2.757447238293839
G9030250,aus_lstm_nse_s0,lo,60,fixed,1.0,0.1641443357421717,0.2243439572761452,2.757447238293839
G9030250,aus_lstm_nse_s0,up,90,fixed,0.01,0.3929438335733526,0.5413308807470968,2.772340147593845
G9030250,aus_lstm_nse_s0,up,90,fixed,0.05,0.3728214854560997,0.5999009562821724,2.772340147593845
G9030250,aus_lstm_nse_s0,up,90,fixed,0.2,0.1560287626873795,0.22258721465217712,2.772340147593845
G9030250,aus_lstm_nse_s0,up,90,fixed,1.0,0.1500500582718428,0.21693397790308433,2.772340147593845
G9030250,aus_lstm_nse_s0,lo,90,fixed,0.01,0.4331219462989767,0.6140717804269541,2.705359851498866
G9030250,aus_lstm_nse_s0,lo,90,fixed,0.05,0.21495974873424895,0.3133376476833152,2.705359851498866
G9030250,aus_lstm_nse_s0,lo,90,fixed,0.2,0.0945440351877217,0.12810085254444092,2.705359851498866
G9030250,aus_lstm_nse_s0,lo,90,fixed,1.0,0.15005005827184348,0.21169280932367313,2.705359851498866
G9030250,aus_lstm_nse_s0,up,117,adaptive,0.01,0.37253271521365516,0.523498033340438,2.8282809763661056
G9030250,aus_lstm_nse_s0,up,117,adaptive,0.05,0.36799156091446916,0.5961423255083991,2.8282809763661056
G9030250,aus_lstm_nse_s0,up,117,adaptive,0.2,0.14869712476455166,0.22181121377719393,2.8282809763661056
G9030250,aus_lstm_nse_s0,up,117,adaptive,1.0,0.1482158370545973,0.21004970797978184,2.8282809763661056
G9030250,aus_lstm_nse_s0,lo,117,adaptive,0.01,0.4372605601868891,0.6271845515837106,2.662612306173016
G9030250,aus_lstm_nse_s0,lo,117,adaptive,0.05,0.22242147177701432,0.32172338595311356,2.662612306173016
G9030250,aus_lstm_nse_s0,lo,117,adaptive,0.2,0.08933575967550855,0.122186868360314,2.662612306173016
G9030250,aus_lstm_nse_s0,lo,117,adaptive,1.0,0.1482158370545995,0.19774588948146277,2.662612306173016
406208,aus_lstm_nse_s0,up,15,fixed,0.01,0.1468264829313924,0.19536814394035681,2.6593211514373194
406208,aus_lstm_nse_s0,up,15,fixed,0.05,0.11769162924719187,0.16069053479668383,2.6593211514373194
406208,aus_lstm_nse_s0,up,15,fixed,0.2,0.10172635610268987,0.13663579545762455,2.6593211514373194
406208,aus_lstm_nse_s0,up,15,fixed,1.0,0.09911926027683271,0.1331769328749759,2.6593211514373194
406208,aus_lstm_nse_s0,lo,15,fixed,0.01,0.1351351351351351,0.20814595331139696,2.898506210323445
